NODES,1 MPI,24 MPI,12 MPI 2 OMP ,2 MPI 12 OMP
1,1107,250,415,1055
2,2061,171,404,1818
3,1881,129,328,1485
4,1639,109,294,1327
5,1434,87,248,1161
6,1266,92,191,1015
7,1049,76,189,883
8,1030,79,172,836
9,896,72,155,754
10,877,68,135,702
11,757,79,139,630
12,766,68,129,616
13,670,64,125,548
14,632,76,119,526
15,610,64,122,516
16,620,69,126,539
17,581,64,107,458
18,535,65,119,444
19,517,66,115,429
20,506,65,111,433
21,454,65,106,391
22,436,64,100,390
23,411,65,88,347
24,433,66,87,373
25,395,70,94,333
26,381,67,90,324
27,366,73,99,307
28,378,66,79,314
29,344,67,92,305
30,349,68,82,292
31,329,68,85,289
32,372,73,84,326
33,314,74,90,260
34,315,73,91,267
35,306,73,86,253
36,303,69,84,254
37,286,69,81,246
38,293,69,84,242
39,255,69,86,234
40,286,75,87,248
41,257,71,85,227
42,251,70,87,226
43,246,71,91,217
44,247,78,84,217
45,233,77,84,210
46,232,76,80,212
47,222,85,81,205
48,250,93,84,227
49,216,76,80,197
50,216,72,84,199
51,214,77,78,196
52,220,78,88,200
53,203,77,81,188
54,207,73,85,191
55,204,78,83,188
56,210,76,89,208
57,194,79,90,185
58,194,77,79,182
59,188,77,80,180
60,193,73,81,188
61,184,77,85,176
62,189,79,90,177
63,181,77,84,174
64,224,85,84,204
65,172,86,85,168
66,170,79,83,173
67,169,79,85,164
68,178,80,79,174
69,167,79,88,159
70,167,79,87,171
71,163,80,83,156
72,174,81,82,169
73,165,80,87,155
74,165,79,86,153
75,159,80,82,153
76,161,80,78,154
77,161,84,88,153
78,157,85,83,150
79,153,80,86,153
80,166,86,83,158
81,151,81,78,147
82,147,81,83,147
83,147,80,84,149
84,152,82,82,149
85,146,81,78,147
86,142,80,82,146

